unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
MI_A01,2025-01-01,2462492.9708369197,2.5542142e+06,2056394.3859106386,1593983.4428885924
MI_A01,2025-04-01,2386835.2006236864,2.6634898e+06,2515364.3583292956,1579485.8358703959
MI_A01,2025-07-01,2532050.3841489367,2.5842335e+06,2645745.161419964,1509360.2109157362
MI_A01,2025-10-01,2602976.594700775,2.8642555e+06,2495383.8007442737,1471537.7947252027
MI_A01,2026-01-01,2965065.831968159,3.3730188e+06,2754610.8496810854,1452741.3006102962
MI_A01,2026-04-01,2917041.6531533175,3.34148e+06,2681982.02889746,1425078.1656970528
MI_A01,2026-07-01,3015380.002029148,3.2800375e+06,2702145.228953236,1398105.2323059407
MI_A01,2026-10-01,3015748.7583541493,3.2968922e+06,2700267.2050335063,1372539.2608970797
MI_A02,2025-01-01,10905839.927274797,1.0938573e+07,11363371.10291688,11635290.139605705
MI_A02,2025-04-01,11202753.992782976,1.1476295e+07,11731659.508814767,11559036.073284555
MI_A02,2025-07-01,9612120.102264307,1.0737906e+07,11390960.056491222,11499050.179557312
MI_A02,2025-10-01,11209478.346103773,1.1316422e+07,11633440.15000836,11450196.660454724
MI_A02,2026-01-01,9599158.55220244,1.1304e+07,11341368.688652901,11392401.45681502
MI_A02,2026-04-01,10882751.03709816,1.1197495e+07,11552900.488796087,11336582.142958123
MI_A02,2026-07-01,10894480.864013078,1.0858662e+07,11194164.106044345,11281996.071594771
MI_A02,2026-10-01,9647132.936177997,1.0755027e+07,11253845.55296936,11227736.51127557
MI_A03,2025-01-01,1952093.5669123912,1.9424592e+06,2018889.5912758342,1718853.8439373658
MI_A03,2025-04-01,1973576.2658063187,1.8729462e+06,2083424.0260334217,1693941.6623923588
MI_A03,2025-07-01,1901216.8729812794,1.8633226e+06,2127528.89051329,1661075.7192850928
MI_A03,2025-10-01,1786985.066879359,1.8728251e+06,2178132.4120364976,1634978.7077951026
MI_A03,2026-01-01,1952093.5669123912,2.1597275e+06,2428269.229299181,1607128.772930142
MI_A03,2026-04-01,1920724.5759341929,1.970478e+06,2466684.064219103,1579776.645566205
MI_A03,2026-07-01,1777682.7088395795,1.8676105e+06,2458348.7720697285,1553116.368909521
MI_A03,2026-10-01,1742564.773443941,1.8516722e+06,2444542.467285644,1526913.5809556635
MI_A04,2025-01-01,1493229.1516303218,1.6019802e+06,1646292.562679909,1706617.5295668938
MI_A04,2025-04-01,1286801.4728113706,1.3848044e+06,1607311.1784945312,1669487.847961159
MI_A04,2025-07-01,1163262.2654906139,1.3401941e+06,1620316.20438963,1643444.272776924
MI_A04,2025-10-01,1109172.9459018074,1.2310629e+06,1608932.695217933,1618514.8897321788
MI_A04,2026-01-01,1243451.101924983,1.256345e+06,1605184.4132092602,1589626.9164865068
MI_A04,2026-04-01,1083001.1008431825,1.1730606e+06,1605610.9048059683,1562415.3050734252
MI_A04,2026-07-01,1057837.982432403,1.1219511e+06,1600951.7494877484,1535903.0536909592
MI_A04,2026-10-01,1028301.6733819309,1.143104e+06,1602826.5271809243,1509723.4342371111
MI_A05,2025-01-01,195711.9286793167,144546.17,163641.0677605418,104214.9380384956
MI_A05,2025-04-01,175600.0984660399,119770.484,159549.01622016178,80358.1952324321
MI_A05,2025-07-01,129990.2663782793,109583.26,158196.03341557586,59305.344844550826
MI_A05,2025-10-01,140590.25958106777,109583.26,161855.453960705,37292.04833089444
MI_A05,2026-01-01,212644.58216257917,144546.17,169458.82596787426,13318.549213558668
MI_A05,2026-04-01,180672.48613951638,119770.484,162998.64188452292,-9245.079020169622
MI_A05,2026-07-01,129990.2663782793,109583.26,158871.26689994265,-31278.323729607917
MI_A05,2026-10-01,140590.25958106777,109583.26,160563.76270021763,-52941.98851213476
MI_A06,2025-01-01,27159787.948778853,2.719346e+07,29138584.942872133,27711086.436930653
MI_A06,2025-04-01,22413924.055680256,2.385508e+07,28438800.91338461,27103645.71284288
MI_A06,2025-07-01,20756804.90198893,1.971181e+07,28074512.107038528,26998837.22466385
MI_A06,2025-10-01,24663651.61460334,2.4773512e+07,29248103.32556138,26980321.72412547
MI_A06,2026-01-01,23514079.624711785,2.3485568e+07,29715168.123773262,26855050.540481187
MI_A06,2026-04-01,23498808.693191335,2.3440964e+07,29696543.96065727,26751343.576872952
MI_A06,2026-07-01,20972748.65763276,2.1127456e+07,29730200.499899503,26654690.78444573
MI_A06,2026-10-01,22226165.048111085,2.2362076e+07,29738810.370082743,26556128.0014337
MI_A07,2025-01-01,3543860.5815033526,3.3912312e+06,2875295.6229890925,2600630.024037029
MI_A07,2025-04-01,2906092.246891206,3.2511358e+06,2940145.015302843,2571632.4059377303
MI_A07,2025-07-01,3035005.454133995,3.2800375e+06,3090992.2380321766,2538044.1012808545
MI_A07,2025-10-01,3074870.854731218,3.2968922e+06,3089706.7118975194,2509438.5056075216
MI_A07,2026-01-01,3429487.8052242943,3.5563628e+06,3060610.591611058,2478846.504450398
MI_A07,2026-04-01,3395762.4268461275,3.3713158e+06,3114470.4795101187,2449022.702938822
MI_A07,2026-07-01,3346974.794874866,3.3212498e+06,3100734.1432820507,2419872.2016445673
MI_A07,2026-10-01,3317220.2627808913,3.3073918e+06,3113948.745864315,2391163.048127559
MI_A09,2025-01-01,641380.7977907043,628895.6,570617.1781657961,496225.9588494488
MI_A09,2025-04-01,733600.0077907637,601863.94,571452.6407324792,474925.09510534036
MI_A09,2025-07-01,644436.0158825396,614502.0,584112.6389299305,448747.98781710153
MI_A09,2025-10-01,629227.860447737,568815.56,582318.4838042593,425875.60798040975
MI_A09,2026-01-01,590228.4758829551,662745.4,616096.1091503608,401173.1783106917
MI_A09,2026-04-01,591951.3807477801,666036.7,642714.1306329435,377395.91343487066
MI_A09,2026-07-01,574369.116381503,658046.56,649196.2268190373,354221.3108774383
MI_A09,2026-10-01,574369.116381503,658046.56,649381.5554037185,331461.41455655056
MI_A10,2025-01-01,14486063.539039435,1.5525744e+07,13967555.43907218,13236399.77367295
MI_A10,2025-04-01,15700927.939235806,1.4674462e+07,14641002.237181181,13134955.985582743
MI_A10,2025-07-01,16105333.807687582,1.3976104e+07,14841225.003861178,13062682.042824943
MI_A10,2025-10-01,15982130.730515055,1.3795375e+07,15086108.967281139,13005648.583834961
MI_A10,2026-01-01,17547400.581100237,1.5631991e+07,14516505.663899155,12945856.162847094
MI_A10,2026-04-01,17844038.73664132,1.6055817e+07,15245940.711406168,12885376.03500241
MI_A10,2026-07-01,18652549.722285606,1.6842456e+07,14938727.44652336,12826111.561187971
MI_A10,2026-10-01,18105754.961650938,1.7563488e+07,15603537.286574584,12767452.56450316
MI_A11,2025-01-01,901923.6847857917,867195.1,929556.6049818511,883050.3982742869
MI_A11,2025-04-01,882786.0996491442,828633.56,942844.7163926077,851948.9642086346
MI_A11,2025-07-01,852326.0422877,799450.3,942881.2615854047,828765.5160182607
MI_A11,2025-10-01,781622.9837228964,799450.3,926874.7734398434,805379.8209078431
MI_A11,2026-01-01,831220.6262209881,854241.06,904040.3056900612,778979.0908016039
MI_A11,2026-04-01,812083.0410843407,822441.75,923171.90545692,754159.6662208629
MI_A11,2026-07-01,781622.9837228964,799450.3,919027.1466086116,729954.9640150066
MI_A11,2026-10-01,781622.9837228964,799450.3,945447.8705485883,706096.7888400347
MI_A12,2025-01-01,10646153.277149193,1.0662773e+07,7931847.460900939,6951002.675435744
MI_A12,2025-04-01,10617013.923769025,1.0218362e+07,7992589.643427559,6458120.244061431
MI_A12,2025-07-01,9742753.181973757,1.0414453e+07,8082433.323299244,6690644.060460016
MI_A12,2025-10-01,10662065.965630045,1.0172288e+07,7967150.945031481,6626257.7376782885
MI_A12,2026-01-01,9794989.033134513,9.638099e+06,7983068.087765665,6546629.341032887
MI_A12,2026-04-01,10041393.875985585,9.806416e+06,7975692.892698426,6498533.543055819
MI_A12,2026-07-01,9733722.817402655,9.06286e+06,7981375.488303212,6465141.98257254
MI_A12,2026-10-01,9134332.781656537,8.926172e+06,7997067.3259324385,6423704.227740675
MI_A16,2025-01-01,337717.08751904604,310351.66,265025.2748865797,239551.75933904282
MI_A16,2025-04-01,496783.41166497977,314925.75,292615.8833899745,219126.51137600257
MI_A16,2025-07-01,559569.0351865726,305674.5,298843.73525914195,194845.30142975983
MI_A16,2025-10-01,665208.6700638134,355692.4,294213.8728726075,172516.14114983636
MI_A16,2026-01-01,806545.0456892633,371254.62,291643.27359275974,148447.1021349501
MI_A16,2026-04-01,634819.7569869696,377157.4,295496.44432012417,125436.9629570609
MI_A16,2026-07-01,569843.4448235375,450062.2,299930.7355263263,102992.7692383785
MI_A16,2026-10-01,596711.8632160563,503444.0,300165.9969688411,80952.30639698962
MI_B01,2025-01-01,4492500.8531007385,4.859307e+06,4728695.322746055,4750801.662199483
MI_B01,2025-04-01,4449774.936607511,4.817113e+06,4904436.970841305,4638253.096418103
MI_B01,2025-07-01,4293498.478726266,4.763554e+06,4626670.764851662,4620014.663950082
MI_B01,2025-10-01,4457288.4569667,4.7290335e+06,4619716.069367853,4591953.638485545
MI_B01,2026-01-01,4354818.256757633,4.5554195e+06,4507895.375170575,4550870.6175197
MI_B01,2026-04-01,4377633.202867189,4.4378055e+06,4457957.037715187,4515200.095782175
MI_B01,2026-07-01,4283582.959143703,4.3776785e+06,4467972.786273384,4480534.72855449
MI_B01,2026-10-01,4310267.08226367,4.43915e+06,4498944.320237079,4445793.52111543
MI_B02,2025-01-01,1043595.0220129538,1.0499141e+06,1036523.8735473161,943965.4609929188
MI_B02,2025-04-01,1072777.4685795857,993048.9,1024625.7349410607,914060.7655674578
MI_B02,2025-07-01,1020383.4394611611,988207.06,1031414.2895182694,889906.457027673
MI_B02,2025-10-01,1020383.4394611611,979559.75,1036573.8512764814,866072.8203251504
MI_B02,2026-01-01,1118132.8603951235,1.04823575e+06,1109535.7914200565,839673.2883510932
MI_B02,2026-04-01,1072777.4685795857,993048.9,1088208.7866462995,814673.0778988071
MI_B02,2026-07-01,1027651.9105282209,988207.06,1127686.178536557,790276.7276767928
MI_B02,2026-10-01,1027651.9105282209,979559.75,1109756.369291265,766248.1781264872
MI_B03,2025-01-01,985755.3607037383,1.03394425e+06,1120496.7887354952,748344.0559007188
MI_B03,2025-04-01,1016144.0614823919,1.2117976e+06,1083673.1742780306,717156.7001081377
MI_B03,2025-07-01,1033593.1801134779,1.000115e+06,1085120.1205384552,697540.8549076244
MI_B03,2025-10-01,1003840.7742824979,1.109024e+06,1018842.8828701066,673319.7777075872
MI_B03,2026-01-01,1134975.9906619317,1.0689378e+06,1123608.7906559887,647260.7698952768
